height, weight, label 
165,70,thin
140,98,thin
121,71,thin
198,44,thin
187,95,thin
183,82,thin
156,71,thin
132,44,thin
145,66,thin
138,40,thin
144,80,thin
137,75,thin
144,35,thin
193,50,thin
136,75,thin
185,49,thin
160,37,thin
164,99,thin
120,69,thin
151,58,thin
175,89,thin
190,38,thin
151,53,thin
132,85,thin
198,41,thin
194,91,thin
160,46,thin
190,35,thin
193,53,thin
169,73,thin
133,100,thin
146,71,thin
163,36,thin
182,59,thin
196,77,thin
190,95,thin
172,49,thin
151,36,thin
156,86,thin
163,88,thin
191,68,thin
131,90,thin
165,94,thin
142,69,thin
179,71,thin
166,69,thin
193,83,thin
165,35,thin
199,60,thin
129,39,thin
182,44,thin
172,90,thin
121,47,thin
161,45,thin
146,39,thin
197,55,thin
174,56,thin
176,47,thin
185,95,thin
166,65,thin
190,39,thin
173,62,thin
190,93,thin
170,100,thin
142,95,thin
187,83,thin
160,91,thin
145,91,thin
135,68,thin
196,64,thin
141,91,thin
143,68,thin
154,73,thin
132,39,thin
199,92,thin
180,81,thin
158,41,thin
188,64,thin
162,47,thin
131,98,thin
171,55,thin
180,44,thin
197,61,thin
126,84,thin
192,82,thin
157,39,thin
171,37,thin
173,47,thin
171,47,thin
130,43,thin
175,57,thin
137,58,thin
199,64,thin
189,93,thin
184,69,thin
187,98,thin
140,50,thin
170,60,thin
171,71,thin
179,35,thin
131,66,thin
166,71,thin
176,53,thin
178,48,thin
187,40,thin
122,64,thin
138,55,thin
192,56,thin
122,83,thin
121,54,thin
158,45,thin
192,71,thin
197,80,thin
186,89,thin
193,98,thin
131,71,thin
174,41,thin
170,87,thin
162,84,thin
200,73,thin
148,61,thin
172,44,thin
160,40,thin
171,36,thin
189,86,thin
184,84,thin
135,44,thin
187,46,thin
135,70,thin
178,61,thin
140,67,thin
125,36,thin
144,45,thin
138,73,thin
162,47,thin
155,100,thin
121,95,thin
123,46,thin
190,90,thin
159,51,thin
135,99,thin
136,51,thin
143,48,thin
196,99,thin
151,36,thin
195,80,thin
193,40,thin
149,58,thin
185,38,thin
120,94,thin
199,71,thin
122,38,thin
166,43,thin
159,48,thin
137,38,thin
196,62,thin
122,81,thin
127,92,thin
130,94,thin
130,44,thin
127,59,thin
179,47,thin
189,39,thin
162,59,thin
200,64,thin
197,94,thin
181,36,thin
158,87,thin
125,100,thin
183,98,thin
185,42,thin
159,92,thin
165,38,thin
190,61,thin
167,44,thin
135,45,thin
193,83,thin
139,52,thin
170,93,thin
192,43,thin
181,92,thin
177,67,thin
128,53,thin
163,47,thin
176,91,thin
153,61,thin
196,98,thin
185,90,thin
164,48,thin
132,59,thin
123,67,thin
176,72,thin
142,88,thin
138,56,thin
135,35,thin
132,76,thin
184,45,thin
143,78,thin
152,47,thin
164,43,thin
139,73,thin
138,52,thin
166,49,thin
192,62,thin
153,35,thin
138,56,thin
130,39,thin
151,44,thin
191,46,thin
128,77,thin
184,93,thin
181,96,thin
130,95,thin
142,76,thin
124,68,thin
151,50,thin
181,98,thin
186,41,thin
165,54,thin
185,62,thin
121,54,thin
173,62,thin
157,89,thin
162,92,thin
195,71,thin
120,87,thin
161,86,thin
187,92,thin
194,73,thin
176,88,thin
133,94,thin
126,47,thin
164,96,thin
170,59,thin
142,36,thin
120,64,thin
180,73,thin
135,88,thin
157,52,thin
172,87,thin
149,83,thin
183,65,thin
180,98,thin
186,89,thin
167,50,thin
192,77,thin
170,52,thin
158,59,thin
177,90,thin
161,35,thin
138,57,thin
175,72,thin
124,43,thin
158,100,thin
135,36,thin
143,74,thin
181,72,thin
143,95,thin
128,78,thin
176,67,thin
153,82,thin
189,47,thin
197,91,thin
172,77,thin
180,45,thin
187,77,thin
180,74,thin
191,97,thin
156,40,thin
134,80,thin
144,42,thin
186,35,thin
162,91,thin
197,93,thin
127,52,thin
133,59,thin
147,53,thin
198,49,thin
134,76,thin
167,97,thin
168,50,thin
189,75,thin
199,75,thin
127,81,thin
123,74,thin
140,61,thin
179,87,thin
184,89,thin
159,60,thin
131,57,thin
128,57,thin
164,97,thin
169,88,thin
162,86,thin
162,69,thin
168,83,thin
150,54,thin
166,94,thin
197,63,thin
157,78,thin
163,46,thin
124,82,thin
177,40,thin
188,71,thin
171,91,thin
193,47,thin
181,37,thin
124,98,thin
126,66,thin
166,60,thin
200,98,thin
128,60,thin
180,99,thin
169,98,thin
152,81,thin
175,70,thin
195,63,thin
144,43,thin
142,100,thin
192,67,thin
190,97,thin
157,67,thin
145,97,thin
188,98,thin
153,75,thin
132,52,thin
182,43,thin
173,96,thin
166,62,thin
129,53,thin
178,55,thin
159,87,thin
192,97,thin
122,100,thin
141,96,thin
185,83,thin
129,94,thin
143,39,thin
120,84,thin
177,98,thin
162,92,thin
189,57,thin
133,50,thin
189,54,thin
136,92,thin
158,53,thin
134,66,thin
185,41,thin
132,72,thin
125,49,thin
166,43,thin
150,39,thin
139,38,thin
145,97,thin
146,71,thin
178,76,thin
129,59,thin
175,94,thin
180,63,thin
131,63,thin
172,54,thin
151,47,thin
152,59,thin
141,97,thin
179,60,thin
155,87,thin
150,81,thin
175,98,thin
139,78,thin
127,60,thin
134,39,thin
191,78,thin
136,44,thin
190,72,thin
162,93,thin
144,52,thin
196,81,thin
129,77,thin
133,96,thin
146,46,thin
131,60,thin
160,54,thin
196,76,thin
128,100,thin
180,95,thin
134,53,thin
174,36,thin
138,36,thin
174,73,thin
137,76,thin
183,96,thin
161,98,thin
179,81,thin
182,56,thin
171,41,thin
125,51,thin
137,73,thin
142,94,thin
185,56,thin
185,56,thin
199,91,thin
153,97,thin
194,68,thin
156,67,thin
149,91,thin
191,53,thin
175,70,thin
174,66,thin
196,88,thin
148,52,thin
146,51,thin
151,74,thin
185,52,thin
142,75,thin
159,47,thin
178,96,thin
196,91,thin
129,75,thin
181,90,thin
191,65,thin
171,85,thin
157,36,thin
190,69,thin
153,59,thin
165,97,thin
170,78,thin
175,57,thin
146,58,thin
131,53,thin
188,83,thin
121,83,thin
133,82,thin
175,94,thin
156,39,thin
158,75,thin
142,66,thin
125,85,thin
137,86,thin
141,40,thin
125,90,thin
167,39,thin
174,54,thin
182,43,thin
130,43,thin
150,93,thin
160,61,thin
136,77,thin
173,75,thin
175,46,thin
176,90,thin
156,74,thin
136,78,thin
166,72,thin
120,85,thin
199,100,thin
121,87,thin
159,99,thin
145,83,thin
169,35,thin
194,54,thin
152,74,thin
137,100,thin
170,90,thin
176,64,thin
197,62,thin
151,96,thin
169,73,thin
199,97,thin
146,89,thin
199,40,thin
195,40,thin
183,71,thin
148,70,thin
136,36,thin
174,63,thin
128,91,thin
135,66,thin
176,53,thin
159,99,thin
143,98,thin
178,43,thin
187,74,thin
152,50,thin
177,69,thin
146,63,thin
144,71,thin
176,36,thin
181,76,thin
191,95,thin
169,99,thin
157,54,thin
140,67,thin
185,43,thin
138,52,thin
158,49,thin
160,43,thin
130,77,thin
147,89,thin
134,72,thin
159,49,thin
183,89,thin
189,60,thin
143,44,thin
152,67,thin
145,55,thin
158,85,thin
192,71,thin
162,38,thin
147,47,thin
174,60,thin
199,49,thin
140,41,thin
171,85,thin
122,65,thin
163,74,thin
176,49,thin
142,36,thin
163,85,thin
125,79,thin
141,52,thin
186,59,thin
172,55,thin
120,47,thin
186,87,thin
160,93,thin
172,40,thin
147,100,thin
162,89,thin
143,89,thin
160,65,thin
127,63,thin
171,38,thin
141,46,thin
120,85,thin
120,64,thin
156,72,thin
187,86,thin
190,66,thin
187,90,thin
157,50,thin
191,92,thin
120,35,thin
198,50,thin
127,80,thin
181,46,thin
137,79,thin
184,41,thin
179,85,thin
166,67,thin
152,49,thin
194,83,thin
151,78,thin
123,63,thin
143,99,thin
151,41,thin
198,57,thin
146,57,thin
137,49,thin
187,90,thin
164,77,thin
132,43,thin
164,77,thin
125,96,thin
169,67,thin
135,52,thin
171,62,thin
157,52,thin
193,38,thin
181,57,thin
127,86,thin
190,93,thin
200,45,thin
154,54,thin
187,49,thin
191,35,thin
135,46,thin
197,87,thin
139,69,thin
180,79,thin
136,67,thin
155,58,thin
175,40,thin
147,37,thin
200,90,thin
120,43,thin
162,37,thin
160,70,thin
122,42,thin
127,48,thin
159,44,thin
131,44,thin
165,79,thin
190,47,thin
159,69,thin
178,73,thin
170,43,thin
180,87,thin
193,46,thin
126,58,thin
150,91,thin
174,48,thin
173,81,thin
124,63,thin
178,56,thin
174,55,thin
180,40,thin
176,95,thin
155,74,thin
120,56,thin
137,65,thin
142,44,thin
169,81,thin
124,60,thin
125,60,thin
185,90,thin
175,96,thin
141,77,thin
154,97,thin
128,57,thin
131,93,thin
183,47,thin
161,52,thin
172,92,thin
156,83,thin
170,66,thin
132,87,thin
161,36,thin
136,82,thin
161,93,thin
156,91,thin
121,46,thin
163,38,thin
171,98,thin
165,93,thin
145,94,thin
161,61,thin
135,77,thin
182,50,thin
140,54,thin
136,43,thin
164,41,thin
194,68,thin
126,55,thin
183,97,thin
199,37,thin
179,57,thin
146,42,thin
146,72,thin
140,84,thin
137,61,thin
189,56,thin
146,66,thin
189,65,thin
174,64,thin
183,83,thin
196,62,thin
198,52,thin
144,80,thin
127,88,thin
136,40,thin
187,44,thin
166,46,thin
133,39,thin
151,47,thin
144,52,thin
142,96,thin
178,88,thin
197,47,thin
159,78,thin
187,90,thin
199,53,thin
170,96,thin
173,71,thin
147,84,thin
147,49,thin
168,74,thin
163,36,thin
141,70,thin
120,73,thin
126,40,thin
124,81,thin
182,60,thin
145,62,thin
191,89,thin
196,88,thin
159,42,thin
148,55,thin
138,41,thin
185,41,thin
130,69,thin
176,79,thin
162,58,thin
188,66,thin
126,48,thin
143,39,thin
146,98,thin
131,95,thin
187,46,thin
147,86,thin
153,81,thin
186,79,thin
146,89,thin
121,43,thin
122,100,thin
122,46,thin
189,41,thin
166,84,thin
121,64,thin
155,56,thin
165,84,thin
122,73,thin
146,80,thin
122,61,thin
184,69,thin
195,75,thin
124,67,thin
186,94,thin
141,75,thin
151,91,thin
154,82,thin
140,48,thin
174,40,thin
158,35,thin
144,41,thin
147,94,thin
128,59,thin
186,53,thin
129,40,thin
143,41,thin
186,60,thin
181,76,thin
159,46,thin
174,46,thin
160,57,thin
164,80,thin
128,40,thin
178,67,thin
145,50,thin
166,47,thin
160,42,thin
161,67,thin
198,59,thin
188,62,thin
123,76,thin
175,43,thin
195,83,thin
162,100,thin
154,57,thin
133,50,thin
178,76,thin
142,35,thin
162,50,thin
192,36,thin
173,68,thin
193,88,thin
133,100,thin
146,83,thin
160,40,thin
187,72,thin
164,71,thin
139,84,thin
144,39,thin
168,80,thin
180,67,thin
177,65,thin
168,95,thin
153,60,thin
195,39,thin
199,86,thin
172,40,thin
141,88,thin
192,78,thin
124,41,thin
136,77,thin
178,44,thin
151,79,thin
197,70,thin
182,66,thin
157,68,thin
149,46,thin
199,86,thin
158,52,thin
178,62,thin
198,49,thin
191,100,thin
158,51,thin
177,62,thin
177,36,thin
187,36,thin
147,67,thin
127,83,thin
126,75,thin
188,87,thin
152,51,thin
143,59,thin
171,40,thin
140,72,thin
146,55,thin
148,90,thin
138,39,thin
193,73,thin
176,41,thin
171,74,thin
184,69,thin
174,88,thin
160,69,thin
123,69,thin
127,86,thin
122,99,thin
127,90,thin
190,83,thin
148,72,thin
152,64,thin
147,94,thin
176,59,thin
166,39,thin
148,79,thin
127,66,thin
146,62,thin
142,85,thin
124,77,thin
136,92,thin
170,69,thin
138,47,thin
129,48,thin
173,69,thin
178,85,thin
166,77,thin
197,49,thin
169,68,thin
130,72,thin
198,97,thin
158,90,thin
199,95,thin
163,52,thin
168,50,thin
144,62,thin
123,81,thin
196,64,thin
143,66,thin
185,74,thin
189,95,thin
200,81,thin
193,98,thin
164,80,thin
178,76,thin
182,35,thin
128,35,thin
131,93,thin
178,45,thin
180,47,thin
175,44,thin
190,62,thin
122,50,thin
138,83,thin
135,61,thin
133,38,thin
133,89,thin
160,43,thin
200,100,thin
199,74,thin
132,44,thin
180,44,thin
194,69,thin
146,37,thin
192,36,thin
157,66,thin
161,75,thin
171,51,thin
121,89,thin
128,53,thin
163,85,thin
195,86,thin
136,56,thin
135,68,thin
136,48,thin
135,38,thin
189,48,thin
157,77,thin
129,46,thin
189,43,thin
158,76,thin
141,73,thin
199,38,thin
144,94,thin
177,46,thin
143,36,thin
149,100,thin
198,39,thin
156,65,thin
135,39,thin
127,57,thin
183,72,thin
165,69,thin
184,52,thin
176,92,thin
182,57,thin
172,51,thin
148,67,thin
137,78,thin
162,91,thin
199,47,thin
135,65,thin
152,43,thin
171,64,thin
120,83,thin
191,37,thin
135,44,thin
192,99,thin
187,97,thin
125,47,thin
168,35,thin
156,61,thin
145,37,thin
175,80,thin
167,35,thin
155,75,thin
182,68,thin
123,40,thin
188,96,thin
181,90,thin
148,45,thin
147,38,thin
169,60,thin
135,51,thin
120,90,thin
194,65,thin
183,35,thin
200,35,thin
177,58,thin
140,82,thin
168,59,thin
184,88,thin
126,96,thin
172,73,thin
133,83,thin
181,39,thin
191,80,thin
176,84,thin
125,56,thin
176,87,thin
169,84,thin
159,47,thin
121,40,thin
200,37,thin
163,88,thin
152,69,thin
135,62,thin
184,48,thin
168,51,thin
192,87,thin
169,65,thin
144,50,thin
161,35,thin
163,89,thin
185,97,thin
179,72,thin
133,38,thin
150,35,thin
164,56,thin
194,95,thin
125,35,thin
196,38,thin
137,40,thin
162,98,thin
133,94,thin
186,79,thin
122,83,thin
131,84,thin
165,56,thin
148,87,thin
192,77,thin
134,71,thin
183,63,thin
172,38,thin
172,55,thin
131,91,thin
197,45,thin
157,48,thin
179,95,thin
188,73,thin
129,46,thin
165,64,thin
190,100,thin
161,100,thin
168,50,thin
169,93,thin
122,73,thin
190,45,thin
160,37,thin
163,64,thin
143,88,thin
144,46,thin
124,82,thin
136,37,thin
153,83,thin
137,78,thin
144,38,thin
199,79,thin
127,46,thin
162,70,thin
